,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,17,2,0,0,2,0,0
NV,1,118,2,0,2,0,0
BCC,0,1,13,1,0,0,0
AKIEC,0,2,1,4,1,0,0
BKL,3,0,0,1,18,0,0
DF,0,0,0,0,0,1,0
VASC,0,0,0,0,0,0,3
