,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,14,2,0,2,3,0,0
NV,1,119,2,0,1,0,0
BCC,0,0,14,1,0,0,0
AKIEC,0,1,1,6,0,0,0
BKL,3,3,0,1,15,0,0
DF,0,0,0,0,1,0,0
VASC,0,0,0,0,0,0,3
