,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,11,4,0,0,6,0,0
NV,1,115,0,0,7,0,0
BCC,1,0,11,0,3,0,0
AKIEC,1,1,1,0,5,0,0
BKL,4,7,1,0,10,0,0
DF,0,0,0,1,0,0,0
VASC,1,0,2,0,0,0,0
