,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,14,3,0,1,3,0,0
NV,1,117,1,0,3,0,1
BCC,0,1,10,3,1,0,0
AKIEC,0,2,2,1,3,0,0
BKL,0,3,0,2,17,0,0
DF,0,0,0,1,0,0,0
VASC,0,0,0,0,0,0,3
